query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(company_type )(complete_cast )(info_type (info random))(keyword )(movie_link )(name (gender random))(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 2, 1, 0, 1, 6, 1, 9, 1, 5, 1, 14, 1, 12, 1, 5, 1, 6, 1, 13, 1, 17, 1, 8, 1, 19, 1, 13, 1, 2, 1, 13, 1, 2, 1, 3, 1, 2, 1, 3]",300000.0,0.0,371.0175,5.5555,299628.9825,808.587188,5,"300000.00,300000.00,300000.00,300000.00,300000.00","378.41,368.04,371.35,373.57,363.72","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_type )(complete_cast )(info_type (info random))(keyword )(movie_link )(name )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 1]",300000.0,0.0,374.0149,10.8826,299625.9851,802.106975,5,"300000.00,300000.00,300000.00,300000.00,300000.00","390.93,363.94,371.96,377.56,365.68","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 2, 1, 19, 1, 3, 1, 13, 1, 2, 1, 13, 1, 0]",300000.0,0.0,383.5583,3.3815,299616.4417,782.14973,5,"300000.00,300000.00,300000.00,300000.00,300000.00","379.50,388.26,381.20,384.74,384.09","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(kind_type )(link_type )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 0, 1, 5, 1, 6, 1, 5, 1, 11, 1, 10, 1, 5, 1, 13, 1, 2, 1, 17, 1, 3, 1, 13, 1, 15, 1, 13, 1, 2, 1, 2, 1, 8, 1, 0]",300000.0,0.0,383.5691,11.3966,299616.4309,782.127561,5,"300000.00,300000.00,300000.00,300000.00,300000.00","392.65,371.15,380.24,398.07,375.73","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_type )(complete_cast )(info_type (info random))(keyword )(kind_type )(link_type )(movie_link )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 2, 1, 3, 1, 13, 1, 5, 1, 15, 1, 2, 1, 13, 1, 2, 1, 3, 1, 13, 19, 1, 8, 15, 1, 9]",300000.0,0.0,384.5672,4.1305,299615.4328,780.097704,5,"300000.00,300000.00,300000.00,300000.00,300000.00","385.80,381.10,379.86,390.09,385.99","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(movie_link )(name )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 17, 1, 2, 1, 13, 1, 3, 1, 13, 1, 8, 1, 2, 1, 15, 1, 2, 1, 19, 1, 0]",300000.0,0.0,386.438,6.6766,299613.562,776.321097,5,"300000.00,300000.00,300000.00,300000.00,300000.00","395.33,387.04,388.85,377.15,383.83","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 7, 1, 0, 1, 6, 1, 5, 1, 9, 1, 5, 1, 11, 1, 14, 1, 12, 1, 5, 1, 13, 1, 2, 1, 3, 1, 13, 1, 19, 1, 8, 1, 2, 1, 13, 1, 2, 1, 3, 1, 0]",300000.0,0.0,387.0827,9.488,299612.9173,775.028235,5,"300000.00,300000.00,300000.00,300000.00,300000.00","378.82,382.07,393.53,380.45,400.55","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(kind_type )(link_type )(name )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 2, 1, 3, 1, 17, 1, 13, 1, 13, 1, 8, 1, 2, 1, 2, 1, 13, 1, 19, 1, 2, 1, 3, 1, 3]",300000.0,0.0,392.5819,12.6609,299607.4181,764.171679,5,"300000.00,300000.00,300000.00,300000.00,300000.00","389.42,383.15,389.83,414.69,385.81","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(kind_type )(movie_link )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 5, 1, 9, 1, 12, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 0]",300000.0,0.0,411.0971,31.7575,299588.9029,729.754605,5,"300000.00,300000.00,300000.00,300000.00,300000.00","400.19,385.58,463.60,389.31,416.80","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(complete_cast )(info_type (info random))(kind_type )(link_type )(movie_companies )(movie_keyword )(name )(person_info )(title ),"[1, 7, 1, 16, 1, 14, 1, 20, 1, 12, 1, 8, 1, 5, 1, 15, 1, 19, 1, 4, 1, 6, 1, 13, 1, 2, 1, 0, 1, 17, 1, 6, 1, 5, 1, 4, 1, 14, 1, 15, 1, 9, 1, 0]",300000.0,0.0,416.0437,21.9455,299583.9563,721.078162,5,"300000.00,300000.00,300000.00,300000.00,300000.00","392.21,400.82,427.34,447.44,412.41","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(kind_type )(link_type )(movie_keyword )(name )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 0, 1, 6, 1, 9, 1, 5, 1, 14, 1, 12, 1, 5, 1, 6, 1, 17, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 11, 1, 19, 1, 2, 1, 2, 1, 13, 1, 0, 1, 3, 1, 15, 1, 2, 1, 0]",300000.0,0.0,437.0162,32.7488,299562.9838,686.473481,5,"300000.00,300000.00,300000.00,300000.00,300000.00","495.31,421.05,427.78,418.96,421.99","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(movie_link )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 0, 1, 6, 1, 4, 1, 8, 1, 9, 1, 6, 1, 5, 1, 12, 1, 9, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 19, 1, 15, 1, 2, 1, 13, 1, 13, 1, 2, 8, 1, 3, 2, 1, 3, 1, 0]",300000.0,0.0,444.1297,90.8825,299555.8703,675.478421,5,"300000.00,300000.00,300000.00,300000.00,300000.00","571.68,389.85,509.26,376.42,373.43","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(kind_type )(movie_info )(movie_link )(name )(title ),"[12, 5, 7, 20, 1, 7, 1, 10, 1, 12, 1, 6, 1, 5, 1, 17, 1, 13, 1, 14, 1, 2, 1, 19, 1, 4, 1, 6, 1, 13, 1, 2, 1, 17, 1, 10]",300000.0,0.0,486.9361,114.9584,299513.0639,616.097276,5,"300000.00,300000.00,300000.00,300000.00,300000.00","400.76,410.97,405.36,568.13,649.47","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(company_type )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 0, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 15, 1, 2, 1, 13, 1, 19, 1, 2, 1, 3]",300000.0,0.0,761.5742,4.2591,299238.4258,393.920897,5,"300000.00,300000.00,300000.00,300000.00,300000.00","756.77,758.37,760.89,765.21,766.63","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 5, 1, 2, 1, 3, 1, 13, 1, 15, 1, 2, 1, 19, 1, 13, 1, 2, 1, 3]",300000.0,0.0,767.2212,6.6652,299232.7788,391.021538,5,"300000.00,300000.00,300000.00,300000.00,300000.00","756.02,766.89,770.78,773.17,769.24","error,error,error,error,timeout","complete,complete,complete,complete,complete",True,True
(company_type )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 2, 1, 0, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 17, 1, 13, 1, 2, 1, 19, 1, 3, 1, 13, 1, 13, 1, 8, 1, 2, 1, 8, 1, 3, 1, 2, 1, 15, 1, 2, 1, 0]",300000.0,0.0,774.2317,28.3658,299225.7683,387.480895,5,"300000.00,300000.00,300000.00,300000.00,300000.00","824.68,766.16,762.03,757.72,760.56","timeout,timeout,timeout,timeout,timeout","complete,complete,complete,complete,complete",False,True
(aka_title )(company_type )(complete_cast )(info_type (info random))(keyword )(kind_type )(movie_link )(name )(role_type )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 2, 1, 0, 1, 6, 1, 5, 1, 9, 1, 5, 1, 12, 1, 6, 1, 5, 1, 13, 1, 17, 1, 2, 1, 19, 1, 13, 1, 3, 1, 13, 1, 13, 1, 8, 1, 2, 1, 19, 1, 0]",300000.0,0.0,785.1245,8.6631,299214.8755,382.104984,5,"300000.00,300000.00,300000.00,300000.00,300000.00","788.71,789.03,771.29,782.79,793.81","error,error,error,error,timeout","complete,complete,complete,complete,complete",True,True
(company_type )(complete_cast )(info_type (info random))(keyword )(movie_link )(name )(person_info )(role_type )(title ),"[1, 7, 1, 14, 1, 20, 1, 12, 1, 8, 1, 10, 1, 5, 1, 15, 1, 3, 1, 4, 1, 6, 1, 2, 1, 10, 1, 18, 1, 17, 1, 3, 1, 5, 1, 19, 1, 4, 1, 1, 1, 14, 1, 15, 1, 0]",296252.7735,8379.0531,808.8572,16.6344,295443.9163,366.260908,5,"281263.87,300000.00,300000.00,300000.00,300000.00","801.66,802.80,798.03,838.38,803.42","complete,timeout,timeout,timeout,timeout","complete,complete,complete,complete,complete",False,True
(aka_title )(company_type )(complete_cast )(info_type (info random))(keyword )(movie_link )(name )(person_info )(role_type )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 19, 1, 5, 1, 13, 1, 3, 1, 2, 1, 15, 1, 13, 1, 2, 1, 2, 1, 0]",300000.0,0.0,820.7848,89.0282,299179.2152,365.503841,5,"300000.00,300000.00,300000.00,300000.00,300000.00","777.85,779.94,786.69,779.51,979.93","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(char_name (imdb_index random))(company_type )(keyword )(kind_type )(link_type )(role_type )(title ),"[1, 7, 1, 7, 1, 14, 1, 20, 1, 1, 1, 10, 1, 5, 1, 15, 1, 1, 1, 15, 1, 4, 1, 2, 1, 0, 1, 12, 1, 17, 1, 6, 1, 4, 1, 5, 1, 14, 1, 0]",300000.0,0.0,825.0998,6.5268,299174.9002,363.592379,5,"300000.00,300000.00,300000.00,300000.00,300000.00","828.43,832.96,816.00,826.54,821.56","error,error,error,error,timeout","complete,complete,complete,complete,complete",True,True
(company_type )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(role_type )(title ),"[1, 7, 1, 14, 1, 20, 1, 12, 1, 8, 1, 10, 1, 5, 1, 15, 1, 4, 1, 6, 1, 2, 1, 12, 1, 13, 1, 0, 1, 17, 1, 6, 1, 5, 1, 4, 1, 14, 1, 0]",298870.5374,2525.5552,828.9118,32.0545,298041.6256,360.557714,5,"300000.00,300000.00,300000.00,294352.69,300000.00","806.40,885.19,812.95,816.59,823.43","error,error,timeout,complete,timeout","complete,complete,complete,complete,complete",True,True
(aka_title )(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(person_info )(role_type )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 8, 1, 6, 1, 9, 1, 5, 1, 12, 1, 13, 1, 2, 1, 0, 1, 3, 1, 13, 1, 17, 1, 2, 1, 15, 1, 13, 1, 19, 1, 2, 1, 8, 1, 15, 1, 3, 1, 0]",300000.0,0.0,870.0667,23.7205,299129.9333,344.801136,5,"300000.00,300000.00,300000.00,300000.00,300000.00","881.92,827.72,882.29,879.44,878.97","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(company_name )(complete_cast )(info_type (info random))(keyword )(link_type )(name )(role_type )(title ),"[12, 5, 7, 15, 1, 7, 1, 10, 1, 4, 1, 6, 1, 5, 1, 17, 1, 13, 1, 14, 1, 8, 1, 19, 1, 12, 1, 6, 1, 4, 1, 2, 1, 17, 1, 10]",300000.0,0.0,872.5211,6.1621,299127.4789,343.83124,5,"300000.00,300000.00,300000.00,300000.00,300000.00","871.16,880.37,871.25,863.86,875.96","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(company_type )(complete_cast )(info_type (info random))(keyword )(kind_type )(link_type )(name )(person_info )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 2, 1, 0, 1, 6, 1, 5, 1, 9, 1, 5, 1, 14, 1, 12, 1, 13, 1, 5, 1, 2, 1, 3, 1, 17, 1, 13, 1, 15, 1, 8, 1, 2, 1, 2, 1, 13, 1, 3]",300000.0,0.0,878.9933,249.2614,299121.0067,341.29954,5,"300000.00,300000.00,300000.00,300000.00,300000.00","1324.36,746.87,771.79,776.94,775.01","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(company_name )(info_type (info random))(keyword )(kind_type )(link_type )(name )(person_info )(role_type )(title ),"[1, 16, 1, 20, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 9, 1, 5, 1, 3, 1, 5, 1, 14, 1, 12, 1, 5, 1, 13, 1, 2, 1, 3, 1, 13, 1, 17, 1, 13, 1, 2, 1, 3, 1, 2, 1, 15, 1, 2, 1, 10, 1, 0, 1, 3]",300000.0,0.0,880.281,35.0308,299119.719,340.80026,5,"300000.00,300000.00,300000.00,300000.00,300000.00","936.17,881.56,844.43,881.27,857.98","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title )(char_name (imdb_index most_popular))(company_type )(keyword )(kind_type )(link_type )(movie_info )(title ),"[1, 13, 1, 20, 1, 12, 1, 15, 1, 10, 1, 2, 1, 0, 1, 6, 1, 5, 1, 14, 1, 5, 1, 13, 1, 2, 1, 3]",300000.0,0.0,888.6714,88.948,299111.3286,337.582581,5,"300000.00,300000.00,300000.00,300000.00,300000.00","822.18,893.54,897.51,1028.49,801.64","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
